Type,Model,Parameters,Accuracy,Precision,Fit Time,Predict Time
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.6318872569827659,0.46544199820082677,3.0353856086730957,0.005968809127807617
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.6250955089566177,0.4518622389842413,4.818821430206299,0.0059661865234375
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.621444944392563,0.4592216062129211,4.842876434326172,0.004967927932739258
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.6265387554121742,0.4620314412659433,4.636292219161987,0.004999399185180664
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6808727396213601,0.5635082476274413,8.237753629684448,0.004975318908691406
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.6812123270226674,0.531205403097134,10.571441411972046,0.00500035285949707
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6258595806095594,0.44861402596928374,12.529778957366943,0.005970001220703125
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6795143900161305,0.5437243953559406,2.6794629096984863,0.004999637603759766
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.683249851430512,0.5403435084883335,2.7745234966278076,0.004999399185180664
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.6351982341455132,0.4642049734868934,2.9308559894561768,0.005968809127807617
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.6228881908481195,0.46196062139778815,4.595958471298218,0.005972385406494141
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.6230579845487733,0.4479156727972701,4.761142015457153,0.004968404769897461
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.6233126750997539,0.46045917649569085,4.827954292297363,0.005997657775878906
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6807878427710332,0.559503431629337,8.191317319869995,0.004998922348022461
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.6808727396213601,0.5353274755966468,10.686616659164429,0.004999399185180664
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6280668987180575,0.45467026556114165,12.58978819847107,0.005975484848022461
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-05, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6776466593089396,0.5417401682487175,1.581305742263794,0.006000041961669922
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-05, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.6876644876475083,0.5655289668103962,1.2597155570983887,0.0050008296966552734
